genus,group,indval,pvalue,freq,relfreq1,relfreq2,relabund1,relabund2
Cyclotella,1,0.607,0.001,475,0.618,0.025,0.982,0.018
Trachelomonas,1,0.562,0.001,469,0.584,0.073,0.962,0.038
Oocystis,1,0.556,0.001,818,0.77,0.603,0.722,0.278
Sphaerocystis,1,0.533,0.001,422,0.535,0.048,0.996,0.004
Anabaena,1,0.522,0.001,643,0.592,0.499,0.881,0.119
Aphanocapsa,1,0.515,0.001,397,0.515,0.023,0.999,0.001
Chroococcus,1,0.477,0.001,553,0.507,0.433,0.94,0.06
Scenedesmus,1,0.472,0.001,605,0.559,0.466,0.843,0.157
Nitzschia,1,0.423,0.001,356,0.434,0.073,0.973,0.027
Oscillatoria,1,0.407,0.001,521,0.462,0.438,0.881,0.119
Schroederia,1,0.338,0.001,270,0.347,0.023,0.975,0.025
Komma,1,0.331,0.001,249,0.331,0,1,0
Coelastrum,1,0.33,0.001,274,0.333,0.058,0.99,0.01
Fragilaria,1,0.326,0.001,432,0.41,0.311,0.795,0.205
Chlamydomonas,1,0.326,0.001,263,0.345,0.008,0.945,0.055
Ochromonas,1,0.322,0.001,255,0.324,0.028,0.994,0.006
Mallomonas,1,0.298,0.001,230,0.299,0.013,0.996,0.004
Euglena,1,0.292,0.001,351,0.386,0.152,0.756,0.244
Dinobryon,1,0.268,0.008,367,0.363,0.238,0.738,0.262
Cosmarium,1,0.267,0.064,462,0.442,0.327,0.603,0.397
Crucigenia,1,0.261,0.006,399,0.324,0.392,0.806,0.194
Staurastrum,1,0.255,0.001,324,0.325,0.2,0.783,0.217
Navicula,1,0.252,0.007,405,0.348,0.362,0.724,0.276
Synura,1,0.249,0.001,195,0.252,0.013,0.987,0.013
Selenastrum,1,0.248,0.001,189,0.248,0.005,1,0
Aulacoseira,1,0.246,0.114,436,0.397,0.347,0.62,0.38
Pediastrum,1,0.24,0.001,230,0.242,0.122,0.992,0.008
Merismopedia,1,0.212,0.057,317,0.266,0.296,0.8,0.2
Kirchneriella,1,0.204,0.001,171,0.208,0.035,0.98,0.02
Gloeocapsa,1,0.195,0.001,150,0.195,0.008,0.998,0.002
Leptolyngbya,1,0.19,0.001,143,0.19,0,1,0
Nephrocytium,1,0.179,0.001,152,0.191,0.02,0.936,0.064
Dictyosphaerium,1,0.173,0.001,139,0.173,0.023,1,0
Asterionella,1,0.162,0.001,163,0.175,0.078,0.923,0.077
Volvox,1,0.158,0.001,123,0.158,0.01,0.999,0.001
Ceratium,1,0.156,0.097,270,0.247,0.213,0.63,0.37
Tetrastrum,1,0.155,0.001,118,0.155,0.003,0.999,0.001
Elakatothrix,1,0.152,0.352,273,0.197,0.316,0.773,0.227
Pseudanabaena,1,0.139,0.001,106,0.139,0.003,1,0
Botryococcus,1,0.134,0.01,196,0.151,0.208,0.887,0.113
Gloeocystis,1,0.133,0.001,101,0.133,0.003,1,0
Planktolyngbya,1,0.119,0.001,93,0.12,0.008,0.997,0.003
Achnanthidium,1,0.117,0.713,254,0.23,0.205,0.509,0.491
Stephanodiscus,1,0.112,0.002,112,0.118,0.058,0.951,0.049
Dactylococcopsis,1,0.106,0.001,80,0.106,0,1,0
Limnothrix,1,0.106,0.001,80,0.106,0,1,0
Anabaenopsis,1,0.1,0.03,137,0.141,0.078,0.713,0.287
Peridiniopsis,1,0.096,0.001,85,0.101,0.023,0.95,0.05
Eudorina,1,0.084,0.001,66,0.085,0.005,0.988,0.012
Gomphonema,1,0.081,0.001,73,0.082,0.028,0.978,0.022
Cocconeis,1,0.076,0.009,81,0.08,0.053,0.958,0.042
Cymbella,1,0.075,0.011,94,0.092,0.063,0.824,0.176
Closteriopsis,1,0.073,0.001,75,0.092,0.015,0.798,0.202
Gloeomonas,1,0.069,0.001,52,0.069,0,1,0
Platydorina,1,0.067,0.001,53,0.069,0.003,0.976,0.024
Quadrigula,1,0.063,0.002,60,0.065,0.028,0.972,0.028
Coelosphaerium,1,0.061,1,166,0.179,0.078,0.342,0.658
Eucapsis,1,0.06,0.002,46,0.06,0.003,0.999,0.001
Eremosphaera,1,0.057,0.031,69,0.088,0.008,0.656,0.344
Cylindrospermopsis,1,0.057,0.001,47,0.06,0.005,0.946,0.054
