"genus","group","indval","pvalue","freq","relfreq1","relfreq2","relfreq3","relfreq4","relabund1","relabund2","relabund3","relabund4"
"Cyclotella",1,0.485,0.017,474,0.654,0.63,0.077,0.455,0.741,0.185,0.023,0.05
"Oocystis",1,0.453,0.083,585,0.754,0.829,0.231,0.364,0.6,0.136,0.262,0.001
"Fragilaria",1,0.423,0.01,308,0.53,0.303,0.077,0.182,0.799,0.158,0.036,0.006
"Dinobryon",1,0.383,0.027,283,0.516,0.23,0.038,0.818,0.741,0.073,0.008,0.178
"Scenedesmus",1,0.303,0.218,430,0.495,0.661,0.192,0.545,0.613,0.337,0.047,0.004
"Trachelomonas",1,0.281,0.18,441,0.486,0.717,0.154,0.091,0.578,0.253,0.169,0
"Nitzschia",1,0.275,0.102,331,0.441,0.451,0.077,0.455,0.624,0.317,0.019,0.041
"Ceratium",1,0.262,0.023,188,0.314,0.196,0.077,0,0.837,0.133,0.03,0
"Ochromonas",1,0.25,0.067,247,0.476,0.176,0.115,0.455,0.525,0.033,0.429,0.013
"Navicula",1,0.249,0.077,263,0.357,0.353,0.077,0.273,0.697,0.176,0.104,0.023
"Komma",1,0.248,0.066,249,0.597,0.059,0.192,0.182,0.415,0.013,0.568,0.004
"Tetra<eb>dron",1,0.245,0.012,132,0.319,0.034,0.077,0,0.767,0.105,0.128,0
"Elakatothrix",1,0.239,0.034,153,0.278,0.137,0,0.091,0.858,0.141,0,0.001
"Sphaerocystis",1,0.226,0.542,406,0.478,0.622,0.192,0.182,0.473,0.166,0.356,0.005
"Aulacoseira",1,0.222,0.219,301,0.386,0.429,0.115,0.182,0.575,0.332,0.071,0.022
"Crucigenia",1,0.21,0.157,248,0.284,0.392,0.038,0.182,0.739,0.249,0.004,0.008
"Mallomonas",1,0.195,0.099,225,0.3,0.314,0.038,0.091,0.65,0.286,0.032,0.032
"Dictyosphaerium",1,0.178,0.063,130,0.281,0.07,0.038,0,0.632,0.163,0.204,0
"Leptolyngbya",1,0.17,0.083,143,0.308,0.076,0.077,0,0.55,0.432,0.017,0
"Schroederia",1,0.166,0.365,262,0.441,0.261,0.192,0.091,0.376,0.117,0.501,0.006
"Peridiniopsis",1,0.154,0.032,76,0.178,0.025,0.038,0,0.863,0.054,0.083,0
